,Sentiment,Tweet
266,positive,cantik polos lihat bakat moga sudah tenar gek selebgram kaya2 novilda adik hilang arah tetap cepat tumbuh dewasa asah bakat allah bless you both
267,positive,bagus iniii kaya pingin kenal rambut alus2in dulu muka makeup dulu biar kamera keren hahaha bnr bnr lihat lelah habis pulang sekolah
268,positive,ulang kali kali sampet percaya suara asli bagus
269,positive,alhamdulillah kidz zaman niw karya wajar umur sok gede
270,positive,aduhh kerennnn suara enak nge jazz2 gimanaa gtu muka mah ntr udh tenar muka ikut hahahahahaha skill dulu nomer 1 batu abege jaman now
271,positive,kereeen ini enak didengernya bosen puter ulang2 lipsing2 gajelas joget2 gtu
272,positive,waduuhhh kereeen bangeeet dedek2 emeesh
273,positive,yes bingits coba seandaix anak2 video sprt gin video kreativ bagus dripda video mesum ngelem bau negativ dosa maluin tua
274,positive,bagussss dandan natural permak kayak anak jaman now
275,positive,kereeeeennnn nyanyi santai
276,positive,polossss keren neko2 kayak jossss
277,positive,yesssssss bagus kids jaman now diksh jempolllll
278,positive,wajah2 anak skul yaakk mase alami suka liat lagu sama suara keren palg pakai bando suara mantap
279,positive,keren suara dasar cantik tinggal poles dikit sinar
280,positive,bagi suara pas bnget pecah suara juga cakep
281,positive,keren suara tinggal permak biar tambah cantik viralkann
282,positive,kereeeennnnnn suaranyaaahh okkeehh ketjeeehh badaaiik ughllaaaallaa
283,positive,yes yes yes kirain lypsinc habis suara eh pas dua2nya nyanyi bareng sadar asli kereennn
284,positive,keren bakat nanti juga sudah jadi artis duit muka cemerlang
285,positive,keren min orang2 bakat kaya gin up publik
286,positive,kereeen suara seperti gin kids jaman now
287,positive,mrinding bagus poll di jaga adik polos jng smpek seperti aw2 dan kawan
288,positive,kereenn sumpaah bagus
289,positive,ampun lakikny ganteng rini cantik mungil skrg
290,positive,suami swett liat sayang sama istri ganteng haaaaaaa so swett smg langgeng sllu
291,positive,rini hamil selamat moga kandung sehat rini bahagia hamil moga lancar proses salin
292,positive,kasi anak jangan sampek anak rusak jugak seperti emaknya yaa
293,positive,pasang cantik ganteng suka deh liat
294,positive,hamil selamat sandra moga hamil sehat fit moga lancar prosesi salin sudah calon ini
295,positive,ikut bahagia sukakkk sm ini couple salah pasang sempurna
296,positive,lihat infotainment nikah waktu siap jelang nikah sandra dewi bilang calon suami ken cepat anak hbs meni karena suka anak sudah prepare program2 laku dalam waktu belum kasih anak but finally congrats moga lancar sehat terus sampai lahir
297,positive,ter-humble ter-sempurna ter-sederhana engga sok kaya pnah manja pakai pesawat jet pribadi kayak
298,positive,bunda maia cantik moga slalu sukses sehat terus cantik wajah cantik hati
299,positive,artis kaguminn nikah muda neko2 sayang sayang suami utama anak2 puyeng sama dunia hibur artisann tajirrr mampuss plus alayy aneh2 salutt sama niaa smiga slalu samawa yaa nia and famzz
300,positive,iya jujur fans nia pas tenar sinteronnya urus salut sama muda itungannya beda 2-3
301,positive,smnjk hbs nikah aura keluarr suami juga kliatan sayang nia kliatan begitu tulusss sukak deh liat
302,positive,mngkin marah2 krna ada kata2 enk dr komen wajib ajar marah it foto komando di bully sampai bawa2 fisik sgala bgus pinter2 mnyikapi medsos
303,positive,cantik yak anak cewek puyeng kali yak jagain
304,positive,iya ariel ganteng ariel kharisma tarik sudah tua skrang keriput wajah ttp kharisma lelaki lihat pancar bukti mama tante tergila2 ariel sa
305,positive,manusia harga tulis tulis guna sakit hati tulis guna sosmed smart teman
306,positive,lihat gaya apa ttp kliatan bagus suka lgu sukses trus kak
307,positive,bangat emas jadi salpok emas tapi sumpah lagu music keren bngat apalagi konsep mv ambil handel kan keren denada taro kutang luar karena minim perestasi tapi agnes wajib ajar prestasi dunia fashion artis indonesia unggul karena berani cocok pakai
308,positive,coba deh kritik2 karya tahu bagus kritik
309,positive,protes protes coba usaha deh usaha pendek butuh go international jangan protes klau ken kaliam go international
310,positive,keren suka sama agnes tapi suka sama lagu dan jadi suka juga sama ya nyanyi santai lagu tapi asyik
311,positive,bandingin lagu go internasional ngena seru enak didenger tumben agnes bumbu indonesia kaya batik gtu
312,positive,keren superman wkwkwk
313,positive,sumpah suka lagu asik dengernyaa
314,positive,enak ibu lagu2 album suka inih sm beautiful mistake
315,positive,mantap suka bngt sama agnes karena dy artis talenta dan kaya dy pamer seperti artis ygblain suka dy pamer keren bngt
316,positive,enakk musik nyaa lhatt kakak agnes nyaa dance kaya nyaa nyamaann enakk tuh kayaa nyaa
317,positive,asik bgts dancenya lagu mancappppp
318,positive,ganteng aura kenceng ragu moga langgeng mami
319,positive,mami depe cantik awet muda tidak kalah sm nyanyi datang moga samawa
320,positive,ganteng yesss mami cuco deh babang moga langgeng unchhh lope mami
321,positive,dewi sabar keliahatannya keren moga langgeng
322,positive,pasang hidup ijk salut mami depe matre dan neko2 single dan cocok doi ajak rit seperti tetangga sblh saking matrenya suami embat juga
323,positive,duda singgel ngak laki jaman setia tani dunia akhirat amin good luck dewi persil sehat slalu dalam karya
324,positive,muantepp ganteng selamat tempuh hidup mg langgeng rumah tanggax bhagia dan selladem ayem
325,positive,mb depe langgeng iya biro masny mb ibu ngefans sm mb depe dari mb sm mas saiful dulu smpe2 blng jadi pembntuny gapapala kata pgn ketemu mb depe ibu dijambi mb
326,positive,dengar 2 sakit hati tenang jalanin pilih andah bahagia hati maju trus sukses pasang mu
327,positive,cakep ganteng pacar dewi persik sudah jangan ganti yaa dewi
328,positive,untung bella orang2 fokus sama komen laki coba tidak model baju diceramahin sama netizen
329,positive,pasang suami istri normal romantisme istri tahu umbar tapi jaga suka umbar mesra iti banyak tutup nyata
330,positive,naksir sama cewek kyanya lembut kya bolu
331,positive,cewex cntik cowox mmmmhh he
332,positive,cewenya cantikk the power of kaya
333,positive,alhamdulillah ganteng babang emran
334,positive,alhamdulillah engku emran masyaallah ganteng anteng sabar sholeh nyanyang senyum cute baper dech
335,positive,cantik manis cewek cocok aja
336,positive,cewenya manis cakep skrg dr kemarin jadi
337,positive,lbh cantik hebat juga ini lakik ciwik cakep2 lho
338,positive,moga sama mh bella mh sudah dapat pas
339,positive,moga putus kakak bella sudah bahagia tuh mantri hutan dan lurah
340,positive,yaampun cantiikk bangett asli angguunn
341,positive,euum tuju sekaliii emang cantik wow baik pelihara he
342,positive,cantiik senyum maudy kusnaedi
343,positive,kisah jevin radhini rini jadi ajar 1 jodoh jalan ngikutin dr pas live the remix jevin bicara itu pacar nunjuk radhini juga pas jevin luk radhini erat backstage telah lolos final lihat jevin anak gentle tulus sayang allah maha pembolak-balik hati mei 15 jevin radhini pcrn september 15 jevin rini dipasangin the remix des 15 final the remix jan 16 jevin radhini putus feb 16 jevin rini pcrn april 16 jevin lamar rini feb 17 jevin rini tunang mei 17 jevin rini nikah allah works in many ways allah plan is better than our plan jevin berfikiran nikah umur 30 sangka umur 25 dalam pcrn 2 sudah ngajakin anak nikah ah bahagia wedding soundwave bahagia
344,positive,arti jodoh bilang jodoh cantik lahir batin jodoh pisah baik
345,positive,pingkan ini suara enak bindeng2 bagaimana begitu cir khas merem denger suara udh langsung tahu
346,positive,hati buat mbaa gigi hati luarbiasanya ajah sampai benci cobaa sebutin heternya mbaa salah gigi laku duhh ajah sukak sifatnyaaaaaaaaaaa
347,positive,suka ini ini artis neko neko lahir 1996
348,positive,alhamdulillahhh ngepost ayangnya ibel biarin deh damai isi dunia masing2 sudah pasang engga bilang ibel pho bahagia day ibel
349,positive,kakak murid2ku masih ngajar sekolah internasional mihil anak cantik2 bapak ramah bngt sepupu sekolah uang masuk 70 jtan lbh siswa tahu skrg berapa
350,positive,kakak bella sholehah hasil cantik allah kasih jodoh
351,positive,bela nikah dasar dasar agama utama biar laki2nya dapat laki2 kaya raya nikahin
352,positive,aduh geulis kitu tinggal itu duuuhhhh hahaha jodoh allah kasih teeeh
353,positive,bu ameeel sudah bank kangen bu amel cantik ramah sama kangen tenteng hihiii tanya bu amelnya pindah rumah hamil sehat2 yaa bu amel salam annabel
354,positive,ambil positif oma nan jalan bilang bagaimana oma langsung cerai sudah pilih hidup bagaimana doa moga langgeng meni ibadah heheu
355,positive,alesha arti nama lindung allah aamiin yra nak
356,positive,moga anak bsok pas bangun langsung jadi dewasa biar jodoh gede nanti cakep seperti kakak fahri
357,positive,min mnta doa juga mudah lancar selamat lahir mei aamiin
358,positive,waaah hamil cantik cewek kali yeee debay
359,positive,acha cantik calon belum di kasih momong sm allah smoga segera
360,positive,gemulai momo bak putri keraton jawa moga satu lama maut pisah kan gbu
361,positive,asa kaya manggung kakak moga lancar cepat momong biar princess momo prince
362,positive,waaahhh sm dokter sigit dokter the best humble orgnya recomend program hamil
363,positive,ashanti bunda the best slalu bain support anak mskipun bukan anak kndung
364,positive,smua orng hak apa suka mrugikan ornglain aurel dandan natural hak aurel pinter dandan kliatan cantiiik
365,positive,untung aurel dapat sambung kaya ashanti
366,positive,salut sama bunda mskipun sambung tapi sellu jadi plingbdpan mmbela aurel dan azriel dari pra hatters
367,positive,keren ashanty segitu sayang anak anak kandung kandung belum hati seperti bidadari tv tv untung aurel azriel tiri
368,positive,salut bunda slalu trdpan lindung anak yh mngalahin kandung sndri cma diam buat aurel pa slah pada dya juga manusia cipta allah klau dya lbh sgla yh dari suka nyinyiir masalah pnampilan brarti dh nasib tuuh bisa seperti aurel lbh baek dan bagus dari nyinyiiir
369,positive,tiri hebat ntr paling deh 20an awat skrg masih muda kasi paksa awat cm tutup tutup kuping skrg mah
370,positive,aurel cantik tahu lihat asli sirik jelek jelek muka tente cantik muda aurel aurel foto nampak putib bilang suntik bilang gk ra
371,positive,astagfirullah ucap jaga allah cipta manusia sempurna ngomongnya kayak gitu aurel cantik wajib ajar manusia kurang ashanti wajib ajar bain anak cari perhati sia
372,positive,aurel perempuan hebat jadi zaman pipi mimi ny depan anak bisa strong seperti nyinyir iri karena aurel bisa bahagia seperti skrg bilang bunda ash lebih belum anak hati2 sayang kilometer juga perempuan jadi bayangin anak jadi korban bully
373,positive,ganteng salah managernya moga di lancar yaa
374,positive,muka insya allah jodoh dunia akhirat mbk amiiii
375,positive,cantik banggeett kak depe gk lihat loh dy nikah masih gadis wajah cantik moga lancar kak depe bahagia dunia akhirat aammiinnn
376,positive,dadddd moga dateng yaaa papa luar moga sehat saksi anak meni aamiin
377,positive,moga lancar nikah ayah lekas temu sehat apa
378,positive,moga nikah lancar ya mb jangan larut sedih tiri kandung alas anak kandung larang sudah balik istri pertama sibapak berrti cerita yaa
379,positive,yea polisi pinter hahahaha langsung belok sim nyata cinta gatau rambu2 surat perintah yaelah pikir rumah geledah
380,positive,nikah baguass deh smoga kelak jadi samawa
381,positive,lucu suara kak abbey cantik kayak haru
382,positive,ketemu artika sari disesemall jakarta ampunnn ayunee semampai murah senyummm cakep sangat
383,positive,benar pepatah yess buah jatuh pohon cantik dapat mama suara bagus pinter nyanyi darah seni papa generasi hebat
384,positive,bahagia anak cantik bakat syukur bnr titip indah
385,positive,moga sehat rezeki berlimpaah
386,positive,moga sehat murah rejekinya
387,positive,pria setia kerja keras tidak mantri hutan dan lurah pilih cari nafkah balik beda kenal mentang2 ganteng milih tidak punya kerja ketimbang jadi ojol udh gitu istri diselingkuhin mau
388,positive,doa istri anak serta bang lelaki tanggung karena laki2 tanggung otomatis sayang dengan anak istri beda dengan sayang tanggung
389,positive,allah bahagia dengan mewah sederhana deh bahagia komunikasi dengan
390,positive,cari rezeki untuk tidak kenan keras
391,positive,salut banting tulang hidup duduk bangku empuk pakai ac rampok milih rakyat jelata
392,positive,amin smg lancar dan mudah rezeki jadi inget suami juga gojek srg nlp nanyain anak istri sudah mkn belum pdhl mungkin sempat mkn tidak hujan2an dan panas2an tapi penh keluh sempat komunikasi dan ttp keep in touch sela2 sibuk bangga dan ttp juang ya manuscript gojek karena anak dan istri doa baik
393,positive,respect istri dan anak2 tunggu sabar rumah insya allah allah swt jaga
394,positive,laki beneran juang unt anak istri bahagia istri insyaallah dunia rezeki sangka akherat surga kelak amiin
395,positive,bangga suami istri sela apa profesi kau juara sehat gojek moga lacar rejekimu amiiin
396,positive,apaoun kerja halal tuk nafkah semangat
397,positive,gojek mayoritas pegangguran kerja trus putus asaa tibatiba lapang kerja pakai ijasah sungguh lapang kerja bantu
398,positive,asli cantik ayu loh karena temu langsung sembak ramah sombong mantan2 hhe maaf nimbrung makeup natural karena sembak tonjol wa
399,positive,suami umur tua alhamdulillah suami kekanak kana he
400,positive,undang shanijkt48 hitamputih menang ssk jkt48 mjkt48 layak undang prestasi
401,positive,selamat buka puasa moga amal ibadah ini terima allah
402,positive,ini trans7 dapat harga norwegia
403,positive,selamat mas masuk hitamputih
404,positive,asiknya trans7
405,positive,acara komplit tarik
406,positive,t7 inspiratif
407,positive,suka acara
408,positive,keren saudara laki
409,positive,lihat trans7 sanggu ganteng
410,positive,cinta ikat silaturahmi hati
411,positive,terima kasih bantu sekolah adik
412,positive,moga lancar hitamputihtrans7
413,positive,trans7 baik
414,positive,acara bagus lihat
415,positive,undang rafly acara jebol dangdut academi pinter nyanyi lagu india suara keren
416,positive,bagus rancang trans7 hitamputih sambil2 dakwah hibur terima kasih ustadz wijayanto
417,positive,rihanna bintang tamu kayak trans7 kangen tayang
418,positive,terimakasih tonton malam moga inspirasi ajar untuk sobat7
419,positive,acara trans7 topik bagus ini tentang pribadi ganda
420,positive,kisah anastasya wella seru kisah 9 pribadi beda
421,positive,rindu
422,positive,wihh hebat kakek nenek
423,positive,tunggu sekian nongol trans7
424,positive,asik
425,positive,spensa boys poso trans7 asli keren pakai kemeja biru gingsul salam
426,positive,wahh asik ini vocalgrup terima kasih
427,positive,slalu trans7 hbs acara bagus mas dedy
428,positive,acara trans7 malam bahas mantab tuju banyak ulas
429,positive,seru on the spot
430,positive,trio lucu acara master dedy terima kasih
431,positive,usaha jujur kerja jujur
432,positive,keren undang acara hitamputih acara presiden trans7
433,positive,suka episode malam trans7
434,positive,kangen jeket bintang tamu trans7 seru gitu pas jaman gen 1 undang
435,positive,terima kasih saksi moga inspirasi hibur
436,positive,donk undang
437,positive,inspirasi inspirasi
438,positive,seru ini trans7 live
439,positive,syukur hidup indonesia
440,positive,tuju ucap deddy corbuzier trans7 hari guru tanda jasa naik gaji
441,positive,selamat siang selamat aktivitas tunggu chaenel sayang trans7
442,positive,vermansah keren
443,positive,trans7 keren habis jesika cantik dedy ganteng
444,positive,acara oke
445,positive,yuk tweeps rapat sebentar live
446,positive,tweeps terima kasih saksi besok live
447,positive,emang keren tamu
448,positive,subhanallah ini anak2 karunia banding trans7 hitamputih
449,positive,kes dengar salah dr maju moga sukses slalu
450,negative,bego haruka undang sebentar biar pada lihat younglex sudah begitu hina bego
451,negative,miris lihat perintah juara angkat berat se-asia tapi tidak biaya ikut juara nasional
452,negative,juara 1 angkat berat se-asia tidak terima hadiah juara nasional kendala biaya
453,negative,haruka kali undang tolak hostnya harga
454,negative,asa aneh acara tonton anak sekolah sekolah
455,negative,sedih dengar curhatanmu roxana moga tuhan tunjuk jalan titik terang untuk roxana
456,negative,miris anak indonesia sulit bahasa indonesa nyaman bahasa asing
457,negative,sombong mentang2 kaya pakai umum host kaya trans7
458,negative,parah trans7 bicara sembarang rusak generasi muda acara seperti gin
459,negative,bangkrut perkara uang bangkrut mimpi -bangqomar
460,negative,takut powernya oma martha
461,negative,hasil tidak sesuai dengan hendak demo demo sila arti sbg paksa hendak
462,negative,mulut farhat abas anjay benar
463,negative,episode muncul
464,negative,yaampun anak
465,negative,anak butuh aku sang ayah
466,negative,mario teguh campak anak
467,negative,tuna netra bagi pegang jabat korupsi
468,negative,garing ini
469,negative,nyanyi anak2 lagu na sakit malu
470,negative,maksud ngatain tapi kenapa ditindes
471,negative,bos cowo kerja salah bentak habis cewek diajakin becanda trus ketawa
472,negative,suara sang veteran koruptor hukum mati
473,negative,berita nyebar
474,negative,buta tuh dalem ruang pakai kacamata
475,negative,dunia haru pergi jupe trans7
476,negative,gitu nasib atlet ri
477,negative,kenapa sahabat bisa lupa dengan sahabat temu teman baru
478,negative,baby tatan menang lihat daddy
479,negative,angkat topi tunduk mbah simpen
480,negative,toleransi umat agama terap serang banten toleransi mitos
481,negative,suara sang veteran koruptor hukum mati
482,negative,duka anak buk
483,negative,harap
484,negative,tahu buruk pergi
485,negative,sudah sodok ajah bu tertawa
486,negative,butuh tegas masyarakat perintah butuh tindak ngoceh medsos
487,negative,hidup dijalanin dipikirin
488,negative,pimpin pribadi korban
489,negative,hidup dijalanin dipikirin mongol stres
490,negative,demo nyelesaikan bermusyawara ajha
491,negative,bayang konvensional online usaha tidak bayar apa2 kalah
492,negative,enak taksi konvensional pepet taksi langsung nunggu online
493,negative,kaya gin negara inti gk tuju usaha kaya gin
494,negative,gadget mahal tipu gk argonya argo kuda aman pakai konvensional
495,negative,hidup pilih pasrah
496,negative,gawat darurat tetangga tembak dengan sengaja kucing2 sekitar rumah
497,negative,miris lihat hewan aniaya
498,negative,bicara masalah malu
499,negative,dedy sombong alu
500,positive,suka tambah wawas ajar bicara keren tvonenews
501,positive,tertawa mantap deh pokok seru
502,positive,rindu ilc indobesia lawyers club tvone
503,positive,indonesia lawyers club program talkshow tunggu pirsa tvone bahas topik2 kini
504,positive,kagum buya syafii maarif - ilc tvone
505,positive,panglima bangga ilc tvone
506,positive,rating indonesia lawyers club tv one langsung lesat
507,positive,sejuk ilc kayak gin obrol - ilc tvone
508,positive,tvone indonesia lawyers club yuk
509,positive,ajar debat bidang hukum
510,positive,selamat tayang indonesia lawyers club tvone
511,positive,adem hati aa gymnastiar
512,positive,ikhlas lepas doa
513,positive,bang cerdas hebat
514,positive,ustadz keren
515,positive,damai senandung
516,positive,damai senandung pecah belah umat agama musnah
517,positive,moga paham sejati rupa indonesia
518,positive,ilc malam adem
519,positive,indah ilc malam muka agama rangkul tuju tinggal ahok rusak selaras bangsa
520,positive,tuju ustad
521,positive,top utadz zaitun rasmin
522,positive,yuk tonton tvone saji berita2 obyektif
523,positive,polmart bijaksana
524,positive,rakyat dukung kpk usut tuntas e-ktp
525,positive,acara televisi suka
526,positive,sabar nunggu 2019
527,positive,semangat sehat karni tonton setia tunggu ilc tayang
528,positive,adem dengerin nasehat aa gym moga sehat slalu lindung
529,positive,ilmu serap malam sejuk
530,positive,bangga
531,positive,salut komitmen wibawa jenderal sungguh
532,positive,hormat jendral
533,positive,aa gym sejuk mental jiwa
534,positive,terimakasih buya syafii bangga dengan kejernihaannya
535,positive,jelas kapolri barakallahu buka hati
536,positive,milik kasih maaf maaf keren salut
537,positive,ary sampai diketawain karena kalem ujung keringat dingin merem asli lucu
538,positive,ahmad dhani bicara seru
539,positive,dengar dapat hasim muzadi menentramkan keren
540,positive,salut hormat untuk bang jhonson panjaitan lugas masuk akal
541,positive,kompak bela bnn dan polisi
542,positive,keren kali abang acara botak
543,positive,jokowi betul2 soleh hendropriyono
544,positive,top dan cerah prof
545,positive,media dukung ahok dapat iklan korporasi
546,positive,tvonenews keren melek
547,positive,salut darmawan salihin
548,positive,semga ilc informasi
549,positive,acara debat yag hebat keren
550,negative,tunggu tvshow indonesia lawyers club tvshow cocok karakter siar tvone
551,negative,indonesia lawyers club tvone malam batal tayang malu rezim sakit takut
552,negative,potensi teroris nyata peluang pada teroris
553,negative,indonesia tapi sikap dr presiden demo sibuk citra upload video
554,negative,acara bidik habieb rizieq habieb pulang indonesia mutu
555,negative,muqoddas minoritas ekonomi kuat kuasa mayoritas ekonomi lemah bahas sumber radikal miris
556,negative,jaga jarak dengan islamis radikal bangsa hancur
557,negative,omong tarik isi
558,negative,anis fitnah
559,negative,metromini untuk jadi metronome bentuk macet padat putra petir
560,negative,bela ahok cek pikir kalah anak sd tvonenews
561,negative,kayak provokatif bawa acara beda kelas dengan tvonenews
562,negative,pribadi tidak suka dengan acara najwa ilc tidak selesai kayak
563,negative,bohong ulang
564,negative,racun puji
565,negative,males topik kini
566,negative,bohong lari cepat kilat benar kalah
567,negative,nama tampang nabi tapi hati iblis sesuai dengan nyata acara nazarudin
568,negative,jabat sibuk bicara hak angket tv0ne
569,negative,paham gagal paham
570,negative,bicara segitu dapat maksud
571,negative,sumpah lihat muka ken lempar pakai paruh tua nyebelin
572,negative,fahri dower sakit hati kpk
573,negative,dpr usik kpk bidik
574,negative,ajarin dewan tentang hak angket
575,negative,rakyat tapi juga kadang neng lihat superbodi kyknya tebang pilih juga
576,negative,rajut jakarta cabik cabik pimpin
577,negative,maksud cinta uang akar jahat
578,negative,geram lihat tingkah laku akhlaq oknum mengatasnama islam
579,negative,bohong publik rambut sudah uban cat
580,negative,beda kelas sm kenapa bebas batal
581,negative,ilc tokoh betawi bilang betawi gampang inti banyak bicara jaga inti
582,negative,rajut jakarta gampang banyak bicara jaga
583,negative,buya safi maarif tua kalah bijak nasihat eep muda
584,negative,rampas hak dasar manusia batal hukum
585,negative,polisi kasihan bodoh hadap argumentasi hukum pakar it
586,negative,abi manyu kasi beliau paham whatsapp miris
587,negative,bintang muncul partai tokoh mana sanggup gerak
588,negative,menghimbau provokasi tapi mantik benci teduh tapi mendung
589,negative,tindak anarkis aksi demo
590,negative,penting apa mati seram
591,negative,ketua preman pasar ikut bicara malu
592,negative,jangan karena jaga moral dr konten porno negara darurat radikalisme tunggu perang seperti suriah kpi sadar
593,negative,butuh fakta bukti bicara bohong
594,negative,kasi bapak2 peci pakai batik merah air dikeluarin karena ahoax
595,negative,syaiton musuh jangan jadi sbg teman manusia bisa setan tapi setan tidak bisa manusia
596,negative,dengar cerita bu marwah bodoh malu
597,negative,bang gaya benar2 pikir liberal miris
598,negative,sesat pikir amat
599,negative,bicara ribet
600,positive,ih lucu mas kick andy senyum2
601,positive,hasan merkids kick andy inspirasi salut hasan
602,positive,ubah mimpi tindak kick andy
603,positive,kickandy gila
604,positive,terima kasih tonton acara eps ubah mimpi tindak moga manfaat
605,positive,temu lentera jiwa
606,positive,agung undang cerita jalan hidup
607,positive,musisi gelora semangat nasionalisme kebhinekaan unjuk gigi nkri harga mati
608,positive,anak2 imajinasi
609,positive,gila daki gunung mantap jiwa
610,positive,sayang alam niscaya alam sayang
611,positive,mantan narapidana rangkul cari kerja jalan hidup lbh
612,positive,agung bukti karya kagum hasil dengan ajar cara otodidak
613,positive,salah jadi tonton tertawa agung hapsah muncul
614,positive,agung undang cerita jalan hidup
615,positive,jatuh bangkit bantu
616,positive,bangga bisa sumbang karya nkri ronny patut acung jempol
617,positive,sahabat gimbal alas malam lupa gila daki gunung ala cak tarpin
618,positive,takut berani berani
619,positive,suka hindar yag suka
620,positive,anak 16th berfikir dewasa membiyayai sekolah bajak sawah tv
621,positive,kangen ayah ayah langsung bilang syukur
622,positive,siang juga ajang reuni sahabat kosti dki kosti jateng
623,positive,ku lucu
624,positive,besok pagi uts jadi pulang duluan poto bareng gambar
625,positive,bahagia masuk tv kawan kick andy
626,positive,keren kocak ini tamu mereka lomba design asal malang
627,positive,lucu ini ketawa persis kayak tv
628,positive,terima kasih inspirasi buka setia uji cinta sungguh
629,positive,cinta agung tuhan
630,positive,rias baik wanita semangat percaya
631,positive,inspirasi
632,positive,dukung ahok tv
633,positive,mantap ahok
634,positive,manusia bersih berani
635,positive,suka nasehat analta amir ahok nyaring ucap
636,positive,tarik buka pikir inspirasi sukses
637,positive,jago hahahaha
638,positive,salut orang2 seperti gitu
639,positive,moga umur moga acara malam lancar
640,positive,ajang inspirasi
641,positive,suara penta boys keren juara 1 rumania
642,positive,penta boys eks suka suara keren
643,positive,selip detik kick andy keren
644,positive,terimakasih
645,positive,tayang inspiratif motivasi cinta disabilitas
646,positive,perjuagan istimewa karena tembus batas sbg syukur allah inspirasi
647,positive,syukur hidup
648,positive,acara inspirasi salut
649,positive,suka tamu undang inspirasi
650,negative,sudah puncak lupa sampah bawa turun alam nyampah stop nyampah gunung
651,negative,61 wna ancam deportasi lia ancam pidana
652,negative,nyala lilin umpat gelap
653,negative,bohong gimbal alas malang
654,negative,sampan bayar padang pasir betapa jua emp
655,negative,cari uang paksa upaya malas
656,negative,hidup terkadang net
657,negative,coba suami istri sakit coba istri suami duit miris
658,negative,haru dengar puisi perempuan henti jaga anak shinta nuriyah miris
659,negative,anak milik dua milik salah bantu istri asuh anak
660,negative,uji suami istri sakit uji istri suami apa
661,negative,andy mampir dengan gaya remaja sbg idola remaja beli
662,negative,lemah kuat
663,negative,kuat besar kalah stress mampu pilih pikir
664,negative,kesel coba sodara kilometer antri kantong kering coba kilometer rasain bisa gitu fitnah
665,negative,pulang rumah mati urus miskin now watching taruh apartemen
666,negative,antem tidak telor busuk ketek
667,negative,btp muka sedih pas kakak2 angkat bicara
668,negative,andy kaku jaga sikap undang ahok tamu formal
669,negative,stress ngantuk
670,negative,cover lihat sisi fisik sm isi beda
671,negative,kayak gajah bilang psikolog tv
672,negative,bakarin andy
673,negative,sakit perut kisah sarjana tua indonesia
674,negative,kerja tidak sesuai kualifikasi didik
675,negative,tapi ttp tidak masuk surga jadi ibadah sia2 hahaah sp bilang tato tidak ibadah
676,negative,tato tidak ibadah
677,negative,bodoh bodoh sistem mike-marjinal
678,negative,bagaimana un bisa bocor malaikat alam kubur sudah bocor
679,negative,anak lulus dengan nilai palingg lulus snmptn undang bidik misi pdhl susah
680,negative,belanda peduli orang2 indonesia di daerah isolir bagaimana dengan perintah indonesia zhonk kickandymetrotv
681,negative,merinding deh
682,negative,indonesia2 didik rusak
683,negative,parah kualitas didik indonesia
684,negative,apa kick andy botak
685,negative,mantri hutan dan lurah karena kalah tidak sempurna sempurna
686,negative,hukum indonesia adil
687,negative,tua keladi jadi macan ompong melempem kecewa lihat amin rais
688,negative,media isi tentang kisah sukses tv gosip berita rusuh acara2 gg tai kucing
689,negative,harga harga
690,negative,bawah sulit keluh
691,negative,hidup juang lelah capek
692,negative,henti ajar bodoh
693,negative,ambil berfikir usak
694,negative,miris usak indonesia
695,negative,sistem mike-marjinal bodoh
696,negative,stress kacau
697,negative,kesel coba posisi ahok
698,negative,coba pulang rumah mati urus miskin taruh apartemen
699,negative,bodoh malas
700,positive,tuju al misbah najwa kick andy program favorit
701,positive,metro tv najwa pancasila
702,positive,selera gatau akhir2 suka metro tv kick andy najwa selera tua
703,positive,mantap najwa seru ini
704,positive,sahabat2 yuk najwa metro tv ketua dpp pkb
705,positive,suara benar najwa
706,positive,selamat tv prestasi dialog keren rugi lewat najwa
707,positive,matanajwa moga acara najwa metro tv acara favorit jaya kualitas
708,positive,menang najwa tv dukung najwa program tv baik
709,positive,najwa metrotv inspiratif
710,positive,tentram bahagia najwa tv
711,positive,najwa keren acara tajam silet
712,positive,najwa malam kayak seru
713,positive,najwa keren mantap
714,positive,keren tampil kandang lawan anies baswedan gemilang najwa metro tv
715,positive,romantis muas pirsa karena najwa sukses
716,positive,tarik ikut diskusi ahok - anis najwa
717,positive,ahok pinter hebat debat acara najwa metro tv
718,positive,najwa metro tv pihak paslon 3 untung ahok cerdas semangat allah sama
719,positive,bukti najwa ahok hebat anis insaallah ahok jarot menang
720,positive,sip keren debat ala najwa keren ala kpud sudah atur untuk lbh jaga image
721,positive,moga jokowi acara najwa pelosok atas
722,positive,keren deh najwa
723,positive,metro tv keren inspiratif dengan najwa kick andy
724,positive,metro tv emang tv keren edukatif inspirasi najwa kick andy
725,positive,pimpin cerdas santun jujur bersih pilih aniessandipemersatu
726,positive,lihat pemimpin2 islami cerdas teladan
727,positive,ramai malam tunggu topik seru nambah wawas
728,positive,kado indah malam matanajwametrotv
729,positive,tjokro rumah teladan senioritas hidup kerdil
730,positive,semangat bp bambang woidjojayanto
731,positive,ajar gusdur matanajwametrotv
732,positive,najwa sus bapak dahlan bapak faisal basri inspiratif
733,positive,metro tv keren malam malam minggu rugi najwa
734,positive,merdeka hak bangsa
735,positive,seru ini najwa malam
